,Image Captions,id,date,likes,username,media,inferred company,Tweet Text Generated
2000,,2001,2020-11-19 23:56:11,651,DeadlineWH,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EnOYtHLXUAIZexV.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1329574084045312002/vid/1280x720/df9wX5ZUql7nhiag.mp4?tag=13', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1329574084045312002/pl/STp_nIVa20vRhOqN.m3u8?tag=13&v=703', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1329574084045312002/vid/480x270/AL7naWIUwHV6rqRI.mp4?tag=13', bitrate=288000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1329574084045312002/vid/640x360/Bh7bpZ-8458c1ron.mp4?tag=13', bitrate=832000)], duration=106.12, views=28446)]",house,"

Here is the tweet I generated based on the information provided:

""🚨 Deadline WH: Don't miss out on our limited time offer! 🕰️ Get 20% off on all orders before midnight tonight. 💰 Hurry, this deal won't last long! 🔥 #DeadlineWH #LimitedTimeOffer #Discount #Sale"""
2001,,2002,2019-05-26 15:50:50,764,BBCWorld,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1132675205401370626/img/8Es4wqx3BqxoTtmv.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1132675205401370626/vid/608x1080/T2xirMn5WpvVQi5A.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1132675205401370626/vid/320x568/C6sdzfwPdLR2jiSz.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1132675205401370626/pl/0epxkLdFSD8qysyp.m3u8?tag=12', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1132675205401370626/vid/360x638/LcNOHlp98kHc7U6Z.mp4?tag=12', bitrate=832000)], duration=54.24, views=103981)]",bbc," Just generate the tweet below:

Tweet: 🚨🌟 New discovery in space! 🚀👽 Scientists have found evidence of a mysterious object in deep space, believed to be a black hole. Get the latest updates on #BBCWorld #SpaceExploration #BlackHole 🌠"
2002,Image1 : bbc newsnight - bbc newsnight. ,2003,2020-06-03 20:06:27,162,BBCNewsnight,"[Photo(previewUrl='https://pbs.twimg.com/media/EZnPcMDXkAQ77HR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZnPcMDXkAQ77HR?format=jpg&name=large')]",bbc,"
Tweet: 🚨Breaking News: #BBCNewsnight has obtained exclusive footage of a major #BBC investigation into a shocking #corruption scandal involving a high-ranking government official. Tune in tonight at 8pm for the full story! 📺🔥 #BBC #Newsnight #Investigation"
2003,Image1 : a soccer player is standing on a red background. ,2004,2019-07-23 10:15:19,213,RBLeipzig_EN,"[Photo(previewUrl='https://pbs.twimg.com/media/EAJxSWNXYAA0G56?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EAJxSWNXYAA0G56?format=jpg&name=large')]",rb," Here is the tweet you generated:
""Get ready to score big with our newest player, 🏃‍♂️! 🔥🏆 #RBLeipzig #Soccer #NewSigning""

Please let me know if you have any questions or need further clarification."
2004,,2005,2018-10-16 15:57:41,530,BBCArchive,"[Video(thumbnailUrl='https://pbs.twimg.com/media/Dpo8KTMUcAUCZL6.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1052217652049891328/vid/480x360/rqIhFFpDDaK5wU3T.mp4?tag=8', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1052217652049891328/vid/240x180/_23HqARn4TZ3y6gj.mp4?tag=8', bitrate=288000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1052217652049891328/vid/640x480/dDZaSN-j4mYFFG_u.mp4?tag=8', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1052217652049891328/pl/ySHWTsRy8EC6-g6g.m3u8?tag=8', bitrate=None)], duration=420.76, views=43689)]",bbc,"

Here is the tweet predictor bot's response:

🚀 BBCArchive uncovers a hidden gem from the past! 🗓️ Explore the history of the #BBC and its impact on modern media. 💻 Discover how the BBC has evolved over the years and what the future holds for this iconic institution. 👀 Don't miss out on this fascinating journey through time! #BBCArchive #History #Media #FutureOfMedia 📱💡"
2005,Image1 : a woman dressed as freddy krueger holding a knife. ,2006,2018-09-08 02:40:44,948,VelVelHoller,"[Photo(previewUrl='https://pbs.twimg.com/media/DmigIRMVsAApdMz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DmigIRMVsAApdMz?format=jpg&name=large')]",sky," Just write the tweet as if it were posted by a human on Twitter.

Tweet: 🎃🔪👀 Sky's the limit for this Freddy Krueger cosplayer! 😱🔪🎃 She's ready to slay the night and bring the horror to the day! 😈👻 #FreddyKrueger #Cosplay #HorrorNight #Sky #VelVelHoller"
2006,,2007,2020-05-24 18:21:11,246,HoHighlights,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1264622443106308096/pu/img/e-ThBb87cGljqfRv.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1264622443106308096/pu/vid/320x568/s5AHa3S5iOQ9dsTf.mp4?tag=10', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1264622443106308096/pu/pl/6Gyf-sceRkoTfyMQ.m3u8?tag=10', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1264622443106308096/pu/vid/576x1024/uRXojpk1MQ3ph_-N.mp4?tag=10', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1264622443106308096/pu/vid/360x640/N4BrBGuFZpij1npS.mp4?tag=10', bitrate=832000)], duration=12.564, views=23369)]",house,"

Tweet:
🏠🌞 Just uncovered the most recent home trends! 🤩 From coastal vibes to boho chic, get the inside scoop on the most recent home decor styles. 🏠🏡 #HoHighlights #HomeTrends #InteriorDesign #HomeDecor"
2007,,2008,2019-03-26 21:00:18,0,KidsFootLocker,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1110647616340217857/img/YB6OU_zBv_wGUaza.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1110647616340217857/vid/480x480/3gzGwzu6p3ZqZ-EI.mp4?tag=11', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1110647616340217857/vid/540x540/u9xqg7FCZMTKiAiy.mp4?tag=11', bitrate=1280000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1110647616340217857/vid/320x320/x3-F56OUBWrmRmd9.mp4?tag=11', bitrate=432000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1110647616340217857/pl/a2yww6JHv07yu__A.m3u8?tag=11', bitrate=None)], duration=49.615, views=82)]",foot locker,"

Tweet: 🚨👟💨 Get ready to elevate your sneaker game with the latest drop from @KidsFootLocker! 🔥👟🚨 Featuring the hottest styles from top brands, these kicks are sure to turn heads. Don't miss out on the sneaker revolution! 💪🏽👟 #SneakerRevolution #KidsFootLocker #SneakerGoals #SneakerFashion"
2008,Image1 : a poster with the words 12 things to always remember. ,2009,2019-05-26 17:06:53,10,bacari34,"[Photo(previewUrl='https://pbs.twimg.com/media/D7gjvTxWwAEIOVn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D7gjvTxWwAEIOVn?format=jpg&name=large')]",coach,"

Here is the tweet you generated:

""Life is short, but these 12 things will always remember. 📝⏰💭 From Coach, the brand that cares. #Coach #Remember #LifeHacks #Motivation""

Please let me know if you need any further information or clarification."
2009,,2010,2020-09-10 11:02:20,297,BBCPolitics,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1304012027141128192/img/gu-KpWhn9IUNlfJB.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1304012027141128192/vid/1280x720/W3gU6_S7pVnVvNmB.mp4?tag=13', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1304012027141128192/vid/640x360/ZihuLnqgz7qPCiSH.mp4?tag=13', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1304012027141128192/pl/6WUMRzoOLC6Y3c8O.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1304012027141128192/vid/480x270/8BG4Eq69n0aLksKU.mp4?tag=13', bitrate=288000)], duration=133.221, views=29052)]",bbc,"

Here is the tweet I generated based on the given information:

🚨 Breaking News: New study reveals the devastating impact of climate change on polar bears. 🐧🌎 The BBC has obtained exclusive footage of bears struggling to hunt and reproduce due to melting ice caps. 💔 #ClimateChange #PolarBears #BBCPolitics"
